analysis_set,min_trades_threshold,magic_prefix,magic_prefix_trades,magic_prefix_pf,magic_prefix_traderate,magic_prefix_weekly_traderate,grp_trades,grp_pf,grp_traderate,grp_weekly_traderate,grp_winrate,grp_net_profit,variable_count,variables,grouping_sampledates
full,6,107,677,0.91,0.81,0.97,62,1.68,0.11,0.38,61.29,21.46,4,PD_trend=PD_green | above_PDL=true | above_dayLowSoFar=true | levelTag=weeklyPivot,2024.01.08 16:30:01; 2024.01.19 14:04:11; 2024.02.15 19:08:22
full,6,107,677,0.91,0.81,0.97,42,1.68,0.07,0.3,61.9,14.81,5,above_PDL=true | above_PDO=true | below_ONH=true | below_dayHighSoFar=true | levelTag=weeklyPivot,2024.02.05 16:05:26; 2024.02.16 14:50:18; 2024.02.28 03:27:59
RTH-afterIB,6,114,136,0.73,0.18,0.64,38,1.67,0.06,0.26,60.53,12.42,4,above_IBL=true | above_ONL=true | below_PDH=true | below_dayHighSoFar=true,2024.01.09 19:33:56; 2024.01.30 16:45:52; 2024.02.12 20:15:40
ON,6,101,675,0.74,0.78,0.99,37,1.67,0.06,0.27,62.16,12.69,7,above_ONL=true | above_PDL=true | above_dayLowSoFar=true | below_PDC=true | below_PDH=true | levelTag=dailyDown1 | openGap_info=unknown,2024.01.08 07:53:31; 2024.01.26 10:43:32; 2024.03.07 02:07:14
full,6,107,677,0.91,0.81,0.97,46,1.67,0.07,0.32,60.87,15.97,7,PD_trend=PD_green | above_PDC=true | above_PDL=true | above_PDO=true | above_dayLowSoFar=true | above_midpoint=true | day_of_week=WED,2024.01.10 01:34:35; 2024.01.10 20:51:55; 2024.01.24 16:43:08
ON,6,107,366,0.9,0.55,0.93,45,1.67,0.08,0.32,62.22,15.8,4,above_PDC=true | dayBrokePDL=false | levelTag=weeklyUp1 | openGap_info=unknown,2024.01.25 01:35:50; 2024.02.02 13:16:57; 2024.02.07 15:29:18
ON,6,107,366,0.9,0.55,0.93,45,1.67,0.08,0.32,62.22,15.79,5,above_ONL=true | above_PDC=true | above_dayLowSoFar=true | dayBrokePDL=false | levelTag=weeklyUp1,2024.01.25 01:35:50; 2024.02.02 13:16:57; 2024.02.07 15:29:18
ON,6,107,366,0.9,0.55,0.93,41,1.67,0.07,0.33,63.41,14.69,4,above_PDC=true | above_PDL=true | above_PDO=true | levelTag=weeklyUp1,2024.02.02 13:16:57; 2024.02.07 15:29:18; 2024.02.22 09:00:55
ON,6,107,366,0.9,0.55,0.93,101,1.67,0.16,0.57,62.38,35.39,5,above_ONH=true | above_PDO=true | above_dayHighSoFar=true | dayBrokePDL=false | openGap_info=unknown,2024.01.10 01:34:35; 2024.01.11 01:45:00; 2024.01.19 14:04:11
full,6,107,677,0.91,0.81,0.97,34,1.66,0.06,0.26,61.76,11.94,4,PD_trend=PD_green | above_dayLowSoFar=true | dayBrokePDH=true | levelTag=weeklyUp2,2024.01.19 20:14:02; 2024.01.24 16:43:08; 2024.01.26 16:43:26
full,6,107,677,0.91,0.81,0.97,57,1.66,0.08,0.37,61.4,19.81,3,PD_trend=PD_green | above_dayLowSoFar=true | day_of_week=WED,2024.01.10 01:34:35; 2024.01.10 20:51:55; 2024.01.24 16:43:08
ON,6,107,366,0.9,0.55,0.93,89,1.66,0.15,0.54,61.8,31.01,4,PD_trend=PD_green | above_PDC=true | above_midpoint=true | openGap_info=unknown,2024.01.10 01:34:35; 2024.01.11 01:45:00; 2024.01.19 14:04:11
full,6,107,677,0.91,0.81,0.97,39,1.66,0.07,0.28,61.54,13.61,3,PD_trend=PD_green | dayBrokePDH=true | levelTag=weeklyUp2,2024.01.11 16:07:39; 2024.01.19 20:14:02; 2024.01.24 16:43:08
ON,6,107,366,0.9,0.55,0.93,89,1.66,0.15,0.55,61.8,30.95,4,PD_trend=PD_green | above_PDC=true | above_midpoint=true | dayBrokePDL=false,2024.01.10 01:34:35; 2024.01.11 01:45:00; 2024.01.19 14:04:11
full,6,107,677,0.91,0.81,0.97,45,1.66,0.08,0.33,62.22,15.67,4,above_ONL=true | above_PDC=true | above_PDO=true | levelTag=weeklyUp1,2024.02.02 13:16:57; 2024.02.07 15:29:18; 2024.02.22 09:00:55
full,6,106,337,0.84,0.44,0.88,41,1.66,0.06,0.28,63.41,14.36,5,below_ONL=true | below_PDO=true | below_dayLowSoFar=true | dayBrokePDH=false | day_of_week=WED,2024.01.31 20:01:03; 2024.02.21 01:58:08; 2024.02.21 21:21:11
full,6,116,155,0.98,0.23,0.71,48,1.66,0.08,0.32,62.5,16.37,6,PD_trend=PD_green | above_ONH=true | above_ONL=true | above_dayHighSoFar=true | above_dayLowSoFar=true | above_midpoint=true,2024.01.08 16:30:01; 2024.01.19 14:04:11; 2024.02.07 15:29:18
ON,6,107,366,0.9,0.55,0.93,53,1.66,0.08,0.33,62.26,18.21,4,PD_trend=PD_green | above_PDC=true | dayBrokePDH=true | openGap_info=unknown,2024.01.19 14:04:11; 2024.02.07 15:29:18; 2024.02.09 14:33:04
ON,6,107,366,0.9,0.55,0.93,53,1.65,0.08,0.33,62.26,18.2,5,PD_trend=PD_green | above_ONL=true | above_PDC=true | above_dayLowSoFar=true | dayBrokePDH=true,2024.01.19 14:04:11; 2024.02.07 15:29:18; 2024.02.09 14:33:04
ON,6,101,675,0.74,0.78,0.99,44,1.65,0.08,0.29,61.36,15.4,7,above_ONL=true | above_dayLowSoFar=true | below_PDC=true | below_PDH=true | dayBrokePDH=false | levelTag=dailyDown1 | openGap_info=unknown,2024.01.08 07:53:31; 2024.01.26 10:43:32; 2024.02.13 11:27:26
RTH-afterIB,6,109,204,0.83,0.31,0.75,43,1.65,0.07,0.29,62.79,14.65,8,above_RTHL=true | above_dayLowSoFar=true | below_IBH=true | below_ONH=true | below_PDH=true | below_PDO=true | below_RTHH=true | below_dayHighSoFar=true,2024.01.11 17:50:11; 2024.05.22 21:32:05; 2024.07.18 19:22:20
full,6,107,677,0.91,0.81,0.97,44,1.65,0.08,0.29,61.36,15.21,4,PD_trend=PD_green | above_PDL=true | above_PDO=true | levelTag=weeklyUp2,2024.01.09 08:04:01; 2024.01.10 01:34:35; 2024.01.11 16:07:39
ON,6,107,366,0.9,0.55,0.93,94,1.65,0.15,0.57,61.7,32.39,5,PD_trend=PD_green | above_PDC=true | above_PDL=true | above_PDO=true | openGap_info=unknown,2024.01.10 01:34:35; 2024.01.11 01:45:00; 2024.01.19 14:04:11
RTH-afterIB,6,101,258,0.83,0.37,0.88,46,1.65,0.07,0.28,60.87,15.12,4,PD_trend=PD_green | above_PDL=true | above_dayLowSoFar=true | below_PDH=true,2024.01.18 18:13:55; 2024.02.08 21:28:05; 2024.04.24 17:10:34
ON,6,107,366,0.9,0.55,0.93,94,1.65,0.15,0.57,61.7,32.38,6,PD_trend=PD_green | above_ONL=true | above_PDC=true | above_PDL=true | above_PDO=true | above_dayLowSoFar=true,2024.01.10 01:34:35; 2024.01.11 01:45:00; 2024.01.19 14:04:11
ON,6,107,366,0.9,0.55,0.93,45,1.65,0.07,0.29,62.22,15.37,12,PD_trend=PD_green | above_ONH=true | above_ONL=true | above_PDC=true | above_PDH=true | above_PDL=true | above_PDO=true | above_dayHighSoFar=true | above_dayLowSoFar=true | above_midpoint=true | dayBrokePDH=true | dayBrokePDL=false,2024.01.19 14:04:11; 2024.02.07 15:29:18; 2024.02.09 14:33:04
ON,6,107,366,0.9,0.55,0.93,94,1.65,0.15,0.58,61.7,32.33,5,PD_trend=PD_green | above_PDC=true | above_PDL=true | above_PDO=true | dayBrokePDL=false,2024.01.10 01:34:35; 2024.01.11 01:45:00; 2024.01.19 14:04:11
full,6,101,1097,0.79,0.92,0.99,46,1.65,0.06,0.28,63.04,15.71,7,PD_trend=PD_green | below_ONH=true | below_PDC=true | below_PDH=true | below_dayHighSoFar=true | below_midpoint=true | openGap_info=gapDown_Day,2024.01.16 20:13:38; 2024.01.31 15:48:41; 2024.02.05 16:05:26
RTH-afterIB,6,113,104,0.85,0.16,0.55,39,1.65,0.06,0.27,61.54,13.51,12,below_IBH=true | below_ONH=true | below_ONL=true | below_PDC=true | below_PDH=true | below_PDL=true | below_PDO=true | below_RTHH=true | below_dayHighSoFar=true | below_midpoint=true | dayBrokePDL=true | openGap_info=gapDown_Day,2024.01.17 18:43:53; 2024.01.31 20:01:03; 2024.02.13 20:04:01
full,6,107,677,0.91,0.81,0.97,48,1.65,0.08,0.31,62.5,16.37,5,above_PDL=true | below_ONH=true | below_dayHighSoFar=true | dayBrokePDH=false | levelTag=weeklyPivot,2024.02.05 16:05:26; 2024.02.06 11:36:20; 2024.02.13 01:31:20
ON,6,107,366,0.9,0.55,0.93,34,1.65,0.06,0.27,61.76,11.76,7,PD_trend=PD_green | above_ONL=true | above_PDL=true | above_dayLowSoFar=true | above_midpoint=true | dayBrokePDL=false | levelTag=weeklyUp1,2024.02.02 13:16:57; 2024.02.07 15:29:18; 2024.02.22 09:00:55
full,6,107,677,0.91,0.81,0.97,39,1.65,0.06,0.29,61.54,13.32,4,above_PDO=true | below_PDH=true | dayBrokePDL=false | day_of_week=TUE,2024.01.09 08:04:01; 2024.03.26 09:15:44; 2024.04.23 01:14:22
ON,6,107,366,0.9,0.55,0.93,56,1.65,0.1,0.39,62.5,19.36,8,above_ONH=true | above_ONL=true | above_PDL=true | above_PDO=true | above_dayHighSoFar=true | above_dayLowSoFar=true | above_midpoint=true | dayBrokePDH=false,2024.01.10 01:34:35; 2024.01.11 01:45:00; 2024.02.02 13:16:57
ON,6,107,366,0.9,0.55,0.93,41,1.65,0.07,0.29,60.98,14.18,8,PD_trend=PD_green | above_ONL=true | above_PDC=true | above_PDL=true | above_PDO=true | above_dayLowSoFar=true | dayBrokePDH=false | openGap_info=unknown,2024.01.10 01:34:35; 2024.01.11 01:45:00; 2024.02.02 13:16:57
full,6,107,677,0.91,0.81,0.97,46,1.64,0.08,0.35,60.87,15.44,4,above_ONL=true | above_PDO=true | above_midpoint=true | day_of_week=WED,2024.01.10 01:34:35; 2024.02.07 15:29:18; 2024.02.14 12:12:51
ON,6,107,366,0.9,0.55,0.93,103,1.64,0.17,0.59,62.14,35.22,8,above_ONH=true | above_ONL=true | above_PDL=true | above_PDO=true | above_dayHighSoFar=true | above_dayLowSoFar=true | above_midpoint=true | dayBrokePDL=false,2024.01.10 01:34:35; 2024.01.11 01:45:00; 2024.01.19 14:04:11
full,6,107,677,0.91,0.81,0.97,53,1.64,0.08,0.33,62.26,17.89,4,PD_trend=PD_green | above_ONL=true | above_PDH=true | dayBrokePDH=true,2024.01.19 14:04:11; 2024.02.07 15:29:18; 2024.02.09 14:33:04
full,6,107,677,0.91,0.81,0.97,56,1.64,0.1,0.34,60.71,18.63,4,PD_trend=PD_green | above_PDO=true | above_dayLowSoFar=true | levelTag=weeklyPivot,2024.01.08 16:30:01; 2024.01.19 14:04:11; 2024.02.15 19:08:22
RTH-afterIB,6,113,104,0.85,0.16,0.55,41,1.64,0.06,0.27,60.98,13.94,9,below_ONH=true | below_ONL=true | below_PDC=true | below_PDH=true | below_RTHH=true | below_dayHighSoFar=true | below_midpoint=true | dayBrokePDH=false | openGap_info=gapDown_Day,2024.01.17 18:43:53; 2024.01.31 20:01:03; 2024.02.13 20:04:01
ON,6,101,675,0.74,0.78,0.99,49,1.64,0.09,0.33,61.22,16.83,6,above_ONL=true | above_dayLowSoFar=true | below_PDC=true | below_PDH=true | levelTag=dailyDown1 | openGap_info=unknown,2024.01.08 07:53:31; 2024.01.26 10:43:32; 2024.02.13 11:27:26
full,6,101,1097,0.79,0.92,0.99,33,1.64,0.06,0.28,60.61,10.82,4,above_ONL=true | dayBrokePDL=false | day_of_week=TUE | levelTag=dailyUp1,2024.01.23 21:12:02; 2024.03.19 17:44:49; 2024.05.07 11:09:49
ON,6,107,366,0.9,0.55,0.93,50,1.64,0.08,0.31,62.0,16.84,9,PD_trend=PD_green | above_ONL=true | above_PDC=true | above_PDL=true | above_PDO=true | above_dayLowSoFar=true | above_midpoint=true | dayBrokePDH=true | dayBrokePDL=false,2024.01.19 14:04:11; 2024.02.07 15:29:18; 2024.02.09 14:33:04
full,6,107,677,0.91,0.81,0.97,44,1.64,0.08,0.28,61.36,15.01,4,PD_trend=PD_green | above_PDL=true | dayBrokePDL=false | levelTag=weeklyUp2,2024.01.09 08:04:01; 2024.01.10 01:34:35; 2024.01.11 16:07:39
full,6,107,677,0.91,0.81,0.97,52,1.64,0.07,0.34,61.54,17.95,4,above_PDL=true | above_PDO=true | dayBrokePDL=false | day_of_week=FRI,2024.01.19 14:04:11; 2024.01.19 19:12:52; 2024.01.19 20:14:02
RTH-afterIB,6,109,204,0.83,0.31,0.75,40,1.64,0.06,0.29,62.5,13.43,10,above_RTHL=true | above_dayLowSoFar=true | below_IBH=true | below_ONH=true | below_ONL=true | below_PDH=true | below_PDO=true | below_RTHH=true | below_dayHighSoFar=true | below_midpoint=true,2024.01.11 17:50:11; 2024.05.22 21:32:05; 2024.07.18 19:22:20
full,6,107,677,0.91,0.81,0.97,58,1.64,0.09,0.35,62.07,19.42,4,PD_trend=PD_green | above_ONL=true | above_PDC=true | dayBrokePDH=true,2024.01.19 14:04:11; 2024.02.07 15:29:18; 2024.02.09 14:33:04
full,6,116,155,0.98,0.23,0.71,45,1.63,0.07,0.3,62.22,14.95,8,PD_trend=PD_green | above_ONH=true | above_ONL=true | above_PDC=true | above_PDL=true | above_PDO=true | above_dayLowSoFar=true | above_midpoint=true,2024.01.08 16:30:01; 2024.01.19 14:04:11; 2024.02.07 15:29:18
ON,6,107,366,0.9,0.55,0.93,66,1.63,0.1,0.38,62.12,22.14,8,above_ONL=true | above_PDC=true | above_PDH=true | above_PDL=true | above_PDO=true | above_dayLowSoFar=true | dayBrokePDL=false | openGap_info=unknown,2024.01.19 14:04:11; 2024.02.07 15:29:18; 2024.02.09 14:33:04
RTH-afterIB,6,101,258,0.83,0.37,0.88,62,1.63,0.09,0.34,62.9,20.5,3,below_PDC=true | below_PDH=true | dayBrokePDH=false,2024.01.16 20:13:38; 2024.02.27 18:56:08; 2024.04.15 19:50:27
full,6,107,677,0.91,0.81,0.97,44,1.63,0.06,0.28,61.36,15.18,5,PD_trend=PD_green | above_PDL=true | above_PDO=true | dayBrokePDL=false | day_of_week=FRI,2024.01.19 14:04:11; 2024.01.19 19:12:52; 2024.01.19 20:14:02
ON,6,110,268,0.82,0.36,0.71,46,1.63,0.08,0.3,60.87,16.04,9,above_PDL=true | below_ONH=true | below_ONL=true | below_dayHighSoFar=true | below_dayLowSoFar=true | below_midpoint=true | dayBrokePDL=false | levelTag=dailyPivot | openGap_info=unknown,2024.01.30 13:41:41; 2024.02.02 14:57:32; 2024.04.17 08:01:47
ON,6,116,67,1.1,0.11,0.4,45,1.63,0.07,0.29,62.22,14.95,11,above_ONH=true | above_ONL=true | above_PDC=true | above_PDH=true | above_PDL=true | above_PDO=true | above_dayHighSoFar=true | above_dayLowSoFar=true | above_midpoint=true | dayBrokePDL=false | openGap_info=unknown,2024.01.19 14:04:11; 2024.02.07 15:29:18; 2024.02.09 14:33:04
ON,6,107,366,0.9,0.55,0.93,66,1.63,0.1,0.38,62.12,22.03,8,above_ONL=true | above_PDC=true | above_PDH=true | above_PDL=true | above_PDO=true | above_dayLowSoFar=true | above_midpoint=true | dayBrokePDL=false,2024.01.19 14:04:11; 2024.02.07 15:29:18; 2024.02.09 14:33:04
RTH-afterIB,6,101,258,0.83,0.37,0.88,45,1.63,0.06,0.27,62.22,14.91,3,below_PDC=true | below_PDH=true | openGap_info=gapDown_Day,2024.01.16 20:13:38; 2024.04.25 21:18:41; 2024.04.30 18:32:46
full,6,107,677,0.91,0.81,0.97,99,1.62,0.16,0.57,61.62,33.07,4,PD_trend=PD_green | above_ONL=true | above_PDL=true | above_dayHighSoFar=true,2024.01.08 16:30:01; 2024.01.10 01:34:35; 2024.01.11 01:45:00
ON,6,116,67,1.1,0.11,0.4,42,1.62,0.07,0.28,61.9,13.78,9,PD_trend=PD_green | above_ONH=true | above_ONL=true | above_PDC=true | above_PDL=true | above_PDO=true | above_dayHighSoFar=true | above_dayLowSoFar=true | above_midpoint=true,2024.01.19 14:04:11; 2024.02.07 15:29:18; 2024.02.09 14:33:04
full,6,116,155,0.98,0.23,0.71,37,1.62,0.06,0.26,62.16,12.08,11,PD_trend=PD_green | above_ONH=true | above_ONL=true | above_PDC=true | above_PDH=true | above_PDL=true | above_PDO=true | above_dayLowSoFar=true | above_midpoint=true | dayBrokePDH=true | dayBrokePDL=false,2024.01.19 14:04:11; 2024.02.07 15:29:18; 2024.02.09 14:33:04
full,6,107,677,0.91,0.81,0.97,55,1.62,0.08,0.39,60.0,17.92,5,above_ONH=true | above_PDO=true | above_dayHighSoFar=true | dayBrokePDL=false | day_of_week=WED,2024.01.10 01:34:35; 2024.01.10 20:51:55; 2024.01.24 16:43:08
full,6,107,677,0.91,0.81,0.97,34,1.62,0.06,0.26,61.76,11.15,10,PD_trend=PD_red | above_PDL=true | below_ONH=true | below_ONL=true | below_PDH=true | below_PDO=true | below_dayHighSoFar=true | below_dayLowSoFar=true | below_midpoint=true | dayBrokePDL=false,2024.01.12 12:50:09; 2024.04.10 14:30:04; 2024.04.19 01:53:47
ON,6,107,366,0.9,0.55,0.93,35,1.62,0.06,0.28,62.86,11.92,8,above_ONH=true | above_ONL=true | above_PDL=true | above_PDO=true | above_dayHighSoFar=true | above_dayLowSoFar=true | above_midpoint=true | levelTag=weeklyUp1,2024.02.02 13:16:57; 2024.02.07 15:29:18; 2024.02.22 09:00:55
full,6,107,677,0.91,0.81,0.97,41,1.62,0.07,0.3,60.98,13.47,5,above_PDO=true | below_ONH=true | below_dayHighSoFar=true | dayBrokePDL=false | levelTag=weeklyPivot,2024.02.05 16:05:26; 2024.02.16 14:50:18; 2024.02.28 03:27:59
full,6,107,677,0.91,0.81,0.97,101,1.61,0.16,0.57,61.39,33.35,6,PD_trend=PD_green | above_ONH=true | above_ONL=true | above_dayHighSoFar=true | above_dayLowSoFar=true | above_midpoint=true,2024.01.08 16:30:01; 2024.01.10 01:34:35; 2024.01.11 01:45:00
RTH-afterIB,6,114,136,0.73,0.18,0.64,40,1.61,0.06,0.28,60.0,12.31,4,above_ONL=true | above_PDL=true | below_PDH=true | below_RTHH=true,2024.01.09 19:33:56; 2024.01.26 18:49:54; 2024.01.30 16:45:52
full,6,101,1097,0.79,0.92,0.99,38,1.61,0.07,0.32,60.53,12.11,7,above_ONL=true | above_PDC=true | above_PDL=true | above_dayLowSoFar=true | above_midpoint=true | day_of_week=TUE | levelTag=dailyUp1,2024.01.23 21:12:02; 2024.03.19 17:44:49; 2024.05.07 11:09:49
ON,6,107,366,0.9,0.55,0.93,90,1.61,0.15,0.55,61.11,29.55,7,PD_trend=PD_green | above_ONL=true | above_PDC=true | above_PDL=true | above_PDO=true | above_dayLowSoFar=true | above_midpoint=true,2024.01.10 01:34:35; 2024.01.11 01:45:00; 2024.01.19 14:04:11
full,6,107,677,0.91,0.81,0.97,71,1.61,0.11,0.39,61.97,23.18,4,above_ONL=true | above_PDH=true | above_midpoint=true | dayBrokePDL=false,2024.01.19 14:04:11; 2024.02.07 15:29:18; 2024.02.09 14:33:04
full,6,111,459,0.77,0.58,0.93,48,1.61,0.08,0.36,62.5,15.62,4,below_ONH=true | below_dayHighSoFar=true | dayBrokePDL=false | day_of_week=WED,2024.01.24 21:18:29; 2024.02.28 10:41:09; 2024.04.03 15:22:42
full,6,107,677,0.91,0.81,0.97,41,1.61,0.07,0.29,60.98,13.38,5,above_PDO=true | below_ONH=true | below_PDH=true | below_dayHighSoFar=true | levelTag=weeklyPivot,2024.02.05 16:05:26; 2024.02.16 14:50:18; 2024.02.28 03:27:59
ON,6,107,366,0.9,0.55,0.93,59,1.61,0.1,0.39,61.02,19.37,4,above_PDC=true | above_PDO=true | dayBrokePDH=false | dayBrokePDL=false,2024.01.10 01:34:35; 2024.01.11 01:45:00; 2024.02.02 13:16:57
ON,6,107,366,0.9,0.55,0.93,39,1.61,0.07,0.28,61.54,12.86,8,above_ONH=true | above_ONL=true | above_PDL=true | above_dayHighSoFar=true | above_dayLowSoFar=true | above_midpoint=true | dayBrokePDL=false | levelTag=weeklyUp1,2024.01.25 01:35:50; 2024.02.02 13:16:57; 2024.02.07 15:29:18
full,6,106,337,0.84,0.44,0.88,43,1.61,0.06,0.29,62.79,14.2,7,below_ONH=true | below_PDC=true | below_PDH=true | below_PDO=true | below_dayHighSoFar=true | dayBrokePDH=false | day_of_week=WED,2024.01.31 20:01:03; 2024.02.21 01:58:08; 2024.02.21 21:21:11
full,6,107,677,0.91,0.81,0.97,46,1.61,0.08,0.29,60.87,15.08,2,PD_trend=PD_green | levelTag=weeklyUp2,2024.01.09 08:04:01; 2024.01.10 01:34:35; 2024.01.11 16:07:39
ON,6,107,366,0.9,0.55,0.93,40,1.61,0.07,0.31,62.5,13.3,6,above_ONL=true | above_PDL=true | above_PDO=true | above_dayLowSoFar=true | above_midpoint=true | levelTag=weeklyUp1,2024.02.02 13:16:57; 2024.02.07 15:29:18; 2024.02.22 09:00:55
full,6,107,677,0.91,0.81,0.97,101,1.6,0.16,0.57,61.39,32.91,4,PD_trend=PD_green | above_ONH=true | above_ONL=true | above_PDL=true,2024.01.08 16:30:01; 2024.01.10 01:34:35; 2024.01.11 01:45:00
full,6,107,677,0.91,0.81,0.97,54,1.6,0.09,0.34,61.11,17.65,4,above_ONL=true | above_PDO=true | dayBrokePDL=false | levelTag=weeklyPivot,2024.01.08 16:30:01; 2024.01.19 14:04:11; 2024.01.29 16:12:44
RTH-IB,6,107,98,0.97,0.16,0.53,36,1.6,0.06,0.26,61.11,11.74,3,PD_trend=PD_green | above_PDL=true | dayBrokePDL=false,2024.01.08 16:30:01; 2024.01.11 16:07:39; 2024.02.05 16:05:26
ON,6,107,366,0.9,0.55,0.93,95,1.6,0.15,0.58,61.05,30.93,4,PD_trend=PD_green | above_PDC=true | above_PDL=true | above_PDO=true,2024.01.10 01:34:35; 2024.01.11 01:45:00; 2024.01.19 14:04:11
full,6,107,677,0.91,0.81,0.97,40,1.6,0.06,0.28,60.0,12.96,7,above_PDC=true | above_PDH=true | above_PDL=true | above_PDO=true | above_dayLowSoFar=true | above_midpoint=true | day_of_week=WED,2024.01.10 20:51:55; 2024.01.24 16:43:08; 2024.02.07 15:29:18
full,6,107,677,0.91,0.81,0.97,108,1.6,0.17,0.61,61.11,35.1,4,PD_trend=PD_green | above_ONL=true | above_PDC=true | dayBrokePDL=false,2024.01.08 16:30:01; 2024.01.10 01:34:35; 2024.01.11 01:45:00
RTH-afterIB,6,107,213,0.9,0.34,0.86,35,1.6,0.06,0.26,62.86,11.11,4,above_RTHL=true | above_dayLowSoFar=true | below_PDH=true | openGap_info=gapDown_Day,2024.03.05 20:59:49; 2024.03.19 17:18:40; 2024.04.12 19:25:52
ON,6,107,366,0.9,0.55,0.93,55,1.6,0.1,0.39,61.82,18.07,5,above_ONH=true | above_PDO=true | above_dayHighSoFar=true | dayBrokePDH=false | openGap_info=unknown,2024.01.10 01:34:35; 2024.01.11 01:45:00; 2024.02.02 13:16:57
full,6,107,677,0.91,0.81,0.97,47,1.6,0.08,0.32,61.7,15.17,4,PD_trend=PD_green | above_PDL=true | dayBrokePDH=false | levelTag=weeklyPivot,2024.01.08 16:30:01; 2024.02.05 16:05:26; 2024.02.28 03:27:59
full,6,107,677,0.91,0.81,0.97,48,1.6,0.07,0.34,60.42,15.74,4,above_PDC=true | above_PDL=true | above_PDO=true | day_of_week=FRI,2024.01.19 14:04:11; 2024.01.19 19:12:52; 2024.01.19 20:14:02
RTH-afterIB,6,106,108,0.97,0.16,0.61,36,1.6,0.06,0.28,61.11,11.77,13,below_IBH=true | below_IBL=true | below_ONH=true | below_ONL=true | below_PDC=true | below_PDH=true | below_PDO=true | below_RTHH=true | below_RTHL=true | below_dayHighSoFar=true | below_dayLowSoFar=true | below_midpoint=true | openGap_info=gapDown_Day,2024.01.31 20:01:03; 2024.02.13 20:04:01; 2024.02.21 21:21:11
