analysis_set,min_trades_threshold,magic_prefix,magic_prefix_trades,magic_prefix_pf,magic_prefix_traderate,magic_prefix_weekly_traderate,grp_trades,grp_pf,grp_traderate,grp_weekly_traderate,grp_winrate,grp_net_profit,variable_count,variables,grouping_sampledates
RTH-afterIB,6,113,104,0.85,0.16,0.55,37,1.9,0.06,0.26,64.86,16.26,7,below_PDC=true | below_PDH=true | below_PDL=true | below_PDO=true | dayBrokePDH=false | dayBrokePDL=true | openGap_info=gapDown_Day,2024.01.17 18:43:53; 2024.01.31 20:01:03; 2024.02.13 20:04:01
full,6,101,1097,0.79,0.92,0.99,37,1.9,0.06,0.26,64.86,16.65,4,above_ONL=true | below_PDO=true | dayBrokePDH=false | levelTag=dailyDown1,2024.01.08 07:53:31; 2024.01.26 10:43:32; 2024.02.13 11:27:26
full,6,107,677,0.91,0.81,0.97,53,1.89,0.07,0.34,64.15,22.72,4,PD_trend=PD_green | above_dayLowSoFar=true | dayBrokePDL=false | day_of_week=WED,2024.01.10 01:34:35; 2024.01.10 20:51:55; 2024.01.24 16:43:08
full,6,107,677,0.91,0.81,0.97,42,1.89,0.06,0.3,64.29,18.38,8,above_ONH=true | above_PDC=true | above_PDL=true | above_PDO=true | above_dayHighSoFar=true | above_dayLowSoFar=true | above_midpoint=true | day_of_week=FRI,2024.01.19 14:04:11; 2024.01.19 19:12:52; 2024.01.19 20:14:02
ON,6,107,366,0.9,0.55,0.93,35,1.89,0.06,0.28,65.71,15.1,7,above_ONH=true | above_ONL=true | above_dayHighSoFar=true | above_dayLowSoFar=true | above_midpoint=true | day_of_week=WED | openGap_info=unknown,2024.01.10 01:34:35; 2024.02.07 15:29:18; 2024.03.27 14:00:26
ON,6,107,366,0.9,0.55,0.93,74,1.88,0.12,0.46,64.86,31.93,5,PD_trend=PD_green | above_ONH=true | above_PDC=true | above_dayHighSoFar=true | openGap_info=unknown,2024.01.10 01:34:35; 2024.01.11 01:45:00; 2024.01.19 14:04:11
full,6,111,459,0.77,0.58,0.93,41,1.88,0.06,0.29,65.85,18.0,4,below_PDC=true | below_PDO=true | dayBrokePDH=false | day_of_week=WED,2024.01.17 15:34:54; 2024.01.31 20:01:51; 2024.02.28 10:41:09
RTH-afterIB,6,113,104,0.85,0.16,0.55,39,1.88,0.06,0.26,64.1,16.7,4,below_IBH=true | below_ONL=true | below_PDO=true | dayBrokePDH=false,2024.01.17 18:43:53; 2024.01.31 20:01:03; 2024.02.13 20:04:01
ON,6,107,366,0.9,0.55,0.93,74,1.88,0.12,0.46,64.86,31.87,5,PD_trend=PD_green | above_ONH=true | above_PDC=true | above_dayHighSoFar=true | dayBrokePDL=false,2024.01.10 01:34:35; 2024.01.11 01:45:00; 2024.01.19 14:04:11
full,6,111,459,0.77,0.58,0.93,44,1.88,0.06,0.3,65.91,19.21,4,below_ONH=true | below_PDO=true | dayBrokePDH=false | day_of_week=WED,2024.01.17 15:34:54; 2024.01.31 20:01:51; 2024.02.28 10:41:09
ON,6,107,366,0.9,0.55,0.93,38,1.88,0.06,0.28,65.79,16.36,5,above_PDL=true | above_PDO=true | dayBrokePDL=false | day_of_week=WED | openGap_info=unknown,2024.01.10 01:34:35; 2024.02.07 15:29:18; 2024.02.14 12:12:51
full,6,107,677,0.91,0.81,0.97,44,1.87,0.07,0.31,63.64,18.55,8,PD_trend=PD_green | above_ONH=true | above_PDL=true | above_PDO=true | above_dayHighSoFar=true | above_dayLowSoFar=true | above_midpoint=true | day_of_week=WED,2024.01.10 01:34:35; 2024.01.10 20:51:55; 2024.01.24 16:43:08
full,6,107,677,0.91,0.81,0.97,37,1.87,0.06,0.27,64.86,15.64,4,PD_trend=PD_green | above_ONL=true | dayBrokePDH=false | levelTag=weeklyPivot,2024.01.08 16:30:01; 2024.02.28 03:27:59; 2024.02.29 14:35:29
full,6,107,677,0.91,0.81,0.97,48,1.86,0.08,0.31,64.58,20.18,4,PD_trend=PD_green | above_ONL=true | above_PDO=true | levelTag=weeklyPivot,2024.01.08 16:30:01; 2024.01.19 14:04:11; 2024.02.16 14:50:18
full,6,107,677,0.91,0.81,0.97,39,1.85,0.07,0.28,64.1,16.41,4,PD_trend=PD_green | above_dayLowSoFar=true | dayBrokePDL=false | levelTag=weeklyUp2,2024.01.09 08:04:01; 2024.01.10 01:34:35; 2024.01.19 20:14:02
