magic	combo_position	ref1	ref2	openGap_info	PD_trend	dayBrokePDH	dayBrokePDL	count	winrate	avg_profit
121	price-betweenH-L	IBH	RTHL	gapUp_Day	PD_green	false	true	3	0.667	48.06
121	price-betweenH-L	IBH	IBL	gapUp_Day	PD_green	false	true	3	0.667	48.06
121	price-betweenH-L	IBH	dayLowSoFar	gapUp_Day	PD_green	false	true	3	0.667	48.06
121	price-betweenH-L	dayHighSoFar	RTHL	gapUp_Day	PD_green	false	true	3	0.667	48.06
121	price-betweenH-L	dayHighSoFar	IBL	gapUp_Day	PD_green	false	true	3	0.667	48.06
121	price-betweenH-L	dayHighSoFar	dayLowSoFar	gapUp_Day	PD_green	false	true	3	0.667	48.06
121	price-betweenH-L	midpoint	RTHL	gapUp_Day	PD_green	false	true	3	0.667	48.06
121	price-betweenH-L	midpoint	IBL	gapUp_Day	PD_green	false	true	3	0.667	48.06
121	price-betweenH-L	midpoint	dayLowSoFar	gapUp_Day	PD_green	false	true	3	0.667	48.06
122	price-betweenH-L	RTHH	IBL	gapDown_Day	PD_red	false	true	6	0.667	48.5
122	price-betweenH-L	ONH	dayLowSoFar	gapDown_Day	PD_red	false	true	6	0.667	48.41
122	price-betweenH-L	ONH	RTHL	gapDown_Day	PD_red	false	true	6	0.667	48.41
122	price-betweenH-L	ONH	ONL	gapDown_Day	PD_red	false	true	6	0.667	48.41
122	price-betweenH-L	PDC	IBL	gapDown_Day	PD_red	false	true	6	0.667	48.5
122	price-betweenH-L	PDO	ONL	gapUp_Day	PD_red	false	true	3	0.667	51.88
122	price-betweenH-L	PDO	PDC	gapUp_Day	PD_red	false	true	3	0.667	51.88
122	price-betweenH-L	PDO	PDL	gapUp_Day	PD_red	false	true	3	0.667	51.88
122	price-betweenH-L	dayHighSoFar	IBL	gapDown_Day	PD_red	false	true	6	0.667	48.5
121	price-below	PDO	PDH	gapUp_Day	PD_green	false	true	3	0.667	48.06
121	price-below	PDO	PDC	gapUp_Day	PD_green	false	true	3	0.667	48.06
121	price-below	PDO	ONH	gapUp_Day	PD_green	false	true	3	0.667	48.06
121	price-below	PDO	ONL	gapUp_Day	PD_green	false	true	3	0.667	48.06
121	price-below	PDO	RTHH	gapUp_Day	PD_green	false	true	3	0.667	48.06
121	price-below	PDO	IBH	gapUp_Day	PD_green	false	true	3	0.667	48.06
121	price-below	PDC	RTHH	gapUp_Day	PD_green	false	true	3	0.667	48.06
121	price-below	PDC	ONL	gapUp_Day	PD_green	false	true	3	0.667	48.06
121	price-below	PDC	ONH	gapUp_Day	PD_green	false	true	3	0.667	48.06
121	price-below	PDH	midpoint	gapUp_Day	PD_green	false	true	3	0.667	48.06
