magic	setup_type	ref1	ref2	openGap_info	PD_trend	dayBrokePDH	dayBrokePDL	count	winrate	avg_profit
121	price-betweenH-L	PDH	RTHL	""	PD_green	""	""	14	0.786	85.01
121	price-betweenH-L	IBH	ONL	""	PD_green	""	""	9	0.778	83.59
121	price-betweenH-L	PDH	IBL	""	PD_green	""	""	13	0.769	80.43
121	price-above	PDC	ONL	""	PD_green	true	""	8	0.75	77.6
121	price-below	IBH	dayHighSoFar	""	PD_green	""	""	12	0.75	74.71
121	price-above	PDO	PDC	""	PD_green	true	""	8	0.75	77.6
121	price-below	PDO	dayHighSoFar	""	PD_green	false	true	4	0.75	72.56
121	price-below	PDO	IBH	""	PD_green	false	true	4	0.75	72.56
121	price-below	PDO	RTHH	""	PD_green	false	true	4	0.75	72.56
121	price-above	PDL	PDC	""	PD_green	true	""	8	0.75	77.6
121	price-below	PDO	ONH	""	PD_green	false	true	4	0.75	72.56
121	price-below	PDO	PDC	""	PD_green	false	true	4	0.75	72.56
121	price-betweenH-L	PDH	midpoint	gapDown_Day	PD_green	""	true	8	0.75	76.52
121	price-below	PDO	PDH	""	PD_green	false	true	4	0.75	72.56
121	price-betweenH-L	RTHH	PDC	""	PD_green	true	""	8	0.75	77.6
121	price-betweenH-L	IBH	PDO	""	PD_green	""	""	8	0.75	75.78
121	price-betweenH-L	IBH	RTHL	""	PD_green	""	""	12	0.75	74.71
121	price-betweenH-L	IBH	IBL	""	PD_green	""	""	12	0.75	74.71
121	price-betweenH-L	IBH	dayLowSoFar	""	PD_green	""	""	12	0.75	74.71
121	price-betweenH-L	dayHighSoFar	PDC	""	PD_green	true	""	8	0.75	77.6
121	price-above	PDC	midpoint	""	PD_green	true	""	8	0.75	77.6
121	price-above	PDC	dayLowSoFar	""	PD_green	true	""	8	0.75	77.6
121	price-above	PDC	IBL	""	PD_green	true	""	8	0.75	77.6
121	price-above	PDC	RTHL	""	PD_green	true	""	8	0.75	77.6
121	price-betweenH-L	PDO	dayLowSoFar	""	PD_green	false	true	4	0.75	72.56
121	price-betweenH-L	PDO	IBL	""	PD_green	false	true	4	0.75	72.56
121	price-betweenH-L	PDO	RTHL	""	PD_green	false	true	4	0.75	72.56
121	price-below	RTHH	IBH	""	PD_green	""	""	12	0.75	74.71
121	price-below	PDH	IBH	""	PD_green	""	""	11	0.727	68.42
121	price-betweenH-L	IBH	midpoint	""	PD_green	""	""	7	0.714	66.15
122	price-betweenH-L	PDL	IBL	""	PD_red	false	true	7	0.714	62.8
122	price-betweenH-L	PDL	ONL	gapDown_Day	PD_red	false	true	6	0.667	48.41
121	price-below	ONL	dayHighSoFar	gapUp_Day	PD_green	false	true	3	0.667	48.06
121	price-below	ONL	midpoint	gapUp_Day	PD_green	false	true	3	0.667	48.06
121	price-betweenH-L	ONL	RTHL	gapUp_Day	PD_green	false	true	3	0.667	48.06
121	price-below	ONL	IBH	gapUp_Day	PD_green	false	true	3	0.667	48.06
121	price-below	ONL	RTHH	gapUp_Day	PD_green	false	true	3	0.667	48.06
121	price-below	ONH	ONL	gapUp_Day	PD_green	false	true	3	0.667	48.06
121	price-below	PDC	ONL	gapUp_Day	PD_green	false	true	3	0.667	48.06
121	price-below	PDH	ONL	gapUp_Day	PD_green	false	true	3	0.667	48.06
121	price-below	PDO	midpoint	gapUp_Day	PD_green	false	true	3	0.667	48.06
121	price-below	PDO	ONL	gapUp_Day	PD_green	false	true	3	0.667	48.06
121	price-betweenH-L	ONL	IBL	gapUp_Day	PD_green	false	true	3	0.667	48.06
121	price-betweenH-L	ONL	dayLowSoFar	gapUp_Day	PD_green	false	true	3	0.667	48.06
121	price-betweenH-L	IBH	PDC	""	PD_green	true	""	6	0.667	52.84
122	price-betweenH-L	PDO	PDC	gapUp_Day	PD_red	false	true	3	0.667	51.88
122	price-below	PDL	IBH	""	PD_red	false	true	8	0.625	37.31
122	price-betweenH-L	PDO	PDL	""	PD_red	false	""	13	0.385	-30.77
122	price-betweenH-L	ONH	PDL	""	PD_red	""	""	13	0.385	-30.57
122	price-above	PDL	midpoint	""	PD_red	""	""	13	0.385	-29.01
122	price-above	IBL	dayLowSoFar	""	PD_red	""	""	16	0.375	-33.15
122	price-above	RTHL	IBL	""	PD_red	""	""	16	0.375	-33.15
122	price-betweenH-L	RTHH	IBL	""	PD_red	""	""	16	0.375	-33.15
122	price-betweenH-L	dayHighSoFar	IBL	""	PD_red	""	""	16	0.375	-33.15
122	price-betweenH-L	PDH	PDL	""	PD_red	""	""	16	0.375	-33.48
122	price-betweenH-L	dayHighSoFar	PDL	""	PD_red	""	""	17	0.353	-38.87
122	price-betweenH-L	RTHH	PDL	""	PD_red	""	""	17	0.353	-38.87
122	price-above	PDL	dayLowSoFar	""	PD_red	""	""	17	0.353	-38.87
122	price-above	PDL	RTHL	""	PD_red	""	""	17	0.353	-38.87
121	price-betweenH-L	dayHighSoFar	ONH	gapDown_Day	PD_green	""	true	3	0.333	-46.85
121	price-betweenH-L	RTHH	ONH	gapDown_Day	PD_green	""	true	3	0.333	-46.85
121	price-betweenH-L	PDH	ONH	gapDown_Day	PD_green	""	true	3	0.333	-46.85
121	price-above	ONH	midpoint	gapDown_Day	PD_green	""	true	3	0.333	-46.85
121	price-above	ONH	dayLowSoFar	gapDown_Day	PD_green	""	true	3	0.333	-46.85
121	price-above	ONH	IBL	gapDown_Day	PD_green	""	true	3	0.333	-46.85
121	price-above	PDO	ONH	gapDown_Day	PD_green	""	true	3	0.333	-46.85
121	price-above	PDL	ONH	gapDown_Day	PD_green	""	true	3	0.333	-46.85
121	price-above	ONH	ONL	gapDown_Day	PD_green	""	true	3	0.333	-46.85
121	price-above	ONH	RTHL	gapDown_Day	PD_green	""	true	3	0.333	-46.85
122	price-below	PDL	ONL	gapUp_Day	PD_red	false	true	3	0.333	-46.42
122	price-betweenH-L	PDH	IBH	""	PD_red	false	true	3	0.333	-46.08
122	price-betweenH-L	PDH	ONH	""	PD_red	false	true	3	0.333	-46.08
122	price-below	PDL	midpoint	""	PD_red	false	true	6	0.333	-47.54
122	price-betweenH-L	midpoint	IBL	""	PD_red	false	""	6	0.333	-46.79
122	price-betweenH-L	PDH	PDO	gapUp_Day	PD_red	""	""	3	0.333	-45.2
122	price-below	IBH	midpoint	""	PD_red	false	""	9	0.333	-46.86
122	price-above	PDC	ONH	gapUp_Day	PD_red	""	true	3	0.333	-38.87
122	price-below	PDO	IBL	""	PD_red	false	""	3	0.333	-46.98
122	price-below	PDH	IBL	""	PD_red	false	""	3	0.333	-46.98
122	price-below	PDC	IBL	""	PD_red	false	""	3	0.333	-46.98
122	price-below	ONH	IBL	""	PD_red	false	""	3	0.333	-46.98
122	price-below	RTHH	IBL	""	PD_red	false	""	3	0.333	-46.98
122	price-below	IBL	IBH	""	PD_red	false	""	3	0.333	-46.98
122	price-below	IBL	dayHighSoFar	""	PD_red	false	""	3	0.333	-46.98
122	price-below	IBL	midpoint	""	PD_red	false	""	3	0.333	-46.98
122	price-betweenH-L	IBL	RTHL	""	PD_red	false	""	3	0.333	-46.98
122	price-betweenH-L	IBL	dayLowSoFar	""	PD_red	false	""	3	0.333	-46.98
122	price-above	PDC	IBH	gapUp_Day	PD_red	""	true	3	0.333	-38.87
122	price-below	RTHH	midpoint	""	PD_red	false	""	10	0.3	-56.9
