date,symbol,startTime,endTime,session,magic,priceStart,priceEnd,priceDiff,profit,type,MFE,MAE,MAEfirst15,mfeCandle,maeCandle,close_decision,close_detail,reason,volume,bothComments,level,levelTag,planTradeNumToday,levelTradeNumToday,offset,tp,sl,greenRatio_at_close,avg_profitVelocity_5,secondsGreen,secondsRed,3c_30c_level_breakevenC,gapFillPc_at_tradeOpenTime,openGap_info,PD_trend,dayBrokePDH,dayBrokePDL,referencePointsAbove,referencePointsBelow,levelCats,wCeilingC,dCeilingC,wBounceC,dBounceC
2026.01.13,US500.pro,2026.01.13 16:17:21,2026.01.13 16:21:36,RTH-IB,101251003110000909,6993.5,6988.3,-5.2,-0.95,DEAL_TYPE_BUY,0.3,-5.2,-0.7,3,5,secretTPSL_sl,profit=-5.2|lossThreshold=-4.5|slWhole=9|pct=50,DEAL_REASON_EXPERT,0.001,Falgo_placeholder| ,6994.0,weeklySmash,1,1,-0.5,4.5,4.5,0.0560,-0.091,14,236,,100.00,gapUp_Day,PD_green,true,false,PDH;PDC;ONH;ONL;RTHH;dayHighSoFar;midpoint,PDO;PDL;RTHL;dayLowSoFar,weekly_smash_stacked_friday_monday_thursday_tuesday_wednesday,1,0,7,1
2026.01.13,US500.pro,2026.01.13 17:27:12,2026.01.13 17:27:13,RTH-afterIB,101253103220000909,6993.3,6988.3,-5.0,-0.91,DEAL_TYPE_BUY,-5.0,-5.0,-5.0,1,1,secretTPSL_sl,profit=-5.0|lossThreshold=-4.5|slWhole=9|pct=50,DEAL_REASON_EXPERT,0.001,Falgo_placeholder| ,6994.0,weeklySmash,2,2,-0.7,4.5,4.5,0.0000,0.000,0,0,5,100.00,gapUp_Day,PD_green,true,false,PDH;PDC;ONH;ONL;RTHH;IBH;dayHighSoFar;midpoint,PDO;PDL;RTHL;IBL;dayLowSoFar,weekly_smash_stacked_friday_monday_thursday_tuesday_wednesday,2,1,9,3
2026.01.14,US500.pro,2026.01.14 15:59:15,2026.01.14 16:00:00,RTH-IB,101340003110000909,6951.5,6941.7,-9.8,-1.78,DEAL_TYPE_BUY,0.1,-2.7,-1.2,1,1,,,DEAL_REASON_SL,0.001,Falgo_placeholder| sl 6942.7,6952.0,weeklyDown1,1,1,-0.5,4.5,4.5,0.0465,-0.025,2,41,24,25.35,gapDown_Day,PD_red,false,true,PDO;PDH;PDL;PDC;ONH;ONL;RTHH;dayHighSoFar;midpoint,RTHL;dayLowSoFar,weekly_stacked_friday_monday_thursday,0,0,4,0
2026.01.14,US500.pro,2026.01.14 16:06:51,2026.01.14 16:07:19,RTH-IB,122340111110000909,6951.1,6946.5,4.6,0.83,DEAL_TYPE_SELL,4.6,-0.7,-0.7,2,1,secretTPSL_tp,profit=4.6|threshold=4.5|tpWhole=9|pct=50,DEAL_REASON_EXPERT,0.001,Falgo_placeholder| ,6952.0,weeklyDown1,1,1,0.9,4.5,4.5,0.8889,1.502,24,3,3,25.35,gapDown_Day,PD_red,false,true,PDO;PDH;PDL;PDC;ONH;ONL;RTHH;dayHighSoFar;midpoint,RTHL;dayLowSoFar,weekly_stacked_friday_monday_thursday,1,1,4,0
2026.01.14,US500.pro,2026.01.14 16:28:32,2026.01.14 16:30:04,RTH-IB,171341204110000909,6952.3,6947.8,-4.5,-0.84,DEAL_TYPE_BUY,-0.2,-4.5,-1.5,2,3,secretTPSL_sl,profit=-4.5|lossThreshold=-4.5|slWhole=9|pct=50,DEAL_REASON_EXPERT,0.001,Falgo_placeholder| ,6952.0,weeklyDown1,1,1,0.3,4.5,4.5,0.0000,-0.102,0,90,,25.35,gapDown_Day,PD_red,false,true,PDO;PDH;PDL;PDC;ONH;ONL;RTHH;dayHighSoFar;midpoint,RTHL;dayLowSoFar,weekly_stacked_friday_monday_thursday,2,2,5,1
2026.01.15,US500.pro,2026.01.15 12:20:55,2026.01.15 13:17:48,ON,122450011110000909,6993.1,6988.6,4.5,0.83,DEAL_TYPE_SELL,4.5,-0.7,-0.4,58,18,secretTPSL_tp,profit=4.5|threshold=4.5|tpWhole=9|pct=50,DEAL_REASON_EXPERT,0.001,Falgo_placeholder| ,6994.0,weeklySmash,1,1,0.9,4.5,4.5,0.9398,0.017,2749,171,,unknown,unknown,PD_red,false,false,PDH,PDO;PDL;PDC;ONH;ONL;dayHighSoFar;dayLowSoFar;midpoint,weekly_smash_stacked_friday_monday_thursday_tuesday_wednesday,20,0,15,0
2026.01.15,US500.pro,2026.01.15 12:20:55,2026.01.15 13:17:48,ON,312450009110000909,6993.1,6988.6,4.5,0.83,DEAL_TYPE_SELL,4.5,-0.7,-0.4,58,18,secretTPSL_tp,profit=4.5|threshold=4.5|tpWhole=9|pct=50,DEAL_REASON_EXPERT,0.001,Falgo_placeholder| ,6994.0,weeklySmash,1,1,0.9,4.5,4.5,0.9398,0.017,2749,171,,unknown,unknown,PD_red,false,false,PDH,PDO;PDL;PDC;ONH;ONL;dayHighSoFar;dayLowSoFar;midpoint,weekly_smash_stacked_friday_monday_thursday_tuesday_wednesday,20,0,15,0
2026.01.15,US500.pro,2026.01.15 12:20:55,2026.01.15 13:17:48,ON,322450009110000909,6993.1,6988.6,4.5,0.83,DEAL_TYPE_SELL,4.5,-0.7,-0.4,58,18,secretTPSL_tp,profit=4.5|threshold=4.5|tpWhole=9|pct=50,DEAL_REASON_EXPERT,0.001,Falgo_placeholder| ,6994.0,weeklySmash,1,1,0.9,4.5,4.5,0.9398,0.017,2749,171,,unknown,unknown,PD_red,false,false,PDH,PDO;PDL;PDC;ONH;ONL;dayHighSoFar;dayLowSoFar;midpoint,weekly_smash_stacked_friday_monday_thursday_tuesday_wednesday,20,0,15,0
2026.01.15,US500.pro,2026.01.15 13:51:55,2026.01.15 14:33:31,ON,322450309220000909,6993.1,6997.8,-4.7,-0.88,DEAL_TYPE_SELL,3.3,-4.7,-0.9,14,43,secretTPSL_sl,profit=-4.7|lossThreshold=-4.5|slWhole=9|pct=50,DEAL_REASON_EXPERT,0.001,Falgo_placeholder| ,6994.0,weeklySmash,2,2,0.9,4.5,4.5,0.2974,-0.017,695,1635,,unknown,unknown,PD_red,false,false,PDH,PDO;PDL;PDC;ONH;ONL;dayHighSoFar;dayLowSoFar;midpoint,weekly_smash_stacked_friday_monday_thursday_tuesday_wednesday,23,3,15,0
2026.01.15,US500.pro,2026.01.15 16:50:02,2026.01.15 16:56:46,RTH-afterIB,151452404110000909,6994.4,6999.6,5.2,0.94,DEAL_TYPE_BUY,5.2,-2.3,-0.6,7,3,secretTPSL_tp,profit=5.2|threshold=4.5|tpWhole=9|pct=50,DEAL_REASON_EXPERT,0.001,Falgo_placeholder| ,6994.0,weeklySmash,1,1,0.4,4.5,4.5,0.9050,0.150,362,38,9,36.59,gapUp_Day,PD_red,true,false,PDH;ONH;RTHH;RTHL;IBL;IBH;dayHighSoFar,PDO;PDL;PDC;ONL;dayLowSoFar;midpoint,weekly_smash_stacked_friday_monday_thursday_tuesday_wednesday,24,4,17,2
